strada;desvia;percorso;lato;tratto;note;data pulizia;orario pulizia inizio;orario pulizia fine;divieto di sosta inizio;divieto di sosta fine;data posizionamento segnaletica;data prima pubblicazione;data aggiornamento
360;VIA P. BENEDETTO BONELLI;20;entrambi;;;13/10/20;20.15;4.00;19.00;5.00;09/10/20;28/09/20;
3550;VIA ZARA;20;entrambi;;;13/10/20;20.15;4.00;19.00;5.00;09/10/20;28/09/20;
1400;VIA DON GIUSEPPE GRAZIOLI;20;nord;compreso parcheggio ex Cassa Malati;compreso parcheggio ex Cassa Malati;13/10/20;20.15;4.00;19.00;5.00;09/10/20;28/09/20;
1150;VIA FIUME;20;entrambi;;;13/10/20;20.15;4.00;19.00;5.00;09/10/20;28/09/20;
1920;VIA DEI MOLINI;20;entrambi;;;13/10/20;20.15;4.00;19.00;5.00;09/10/20;28/09/20;
4048;PONTE BEATO MARIO BORZAGA;20;entrambi;;;13/10/20;20.15;4.00;19.00;5.00;09/10/20;28/09/20;
1890;VIA MILANO;21;sud;;;14/10/20;20.15;4.00;19.00;5.00;12/10/20;28/09/20;
1370;VIA GOCCIADORO;21;entrambi;da Largo Donatori Vol. Sangue a inrocio con Via S.F. Crosina-B. Sartori;da Largo Donatori Vol. Sangue a inrocio con Via S.F. Crosina-B. Sartori;14/10/20;20.15;4.00;19.00;5.00;12/10/20;28/09/20;
1160;VIA A. FOGAZZARO;21;entrambi;;;14/10/20;20.15;4.00;19.00;5.00;12/10/20;28/09/20;
40;VIA ADAMELLO;21;entrambi;;;14/10/20;20.15;4.00;19.00;5.00;12/10/20;28/09/20;
1650;VIA MALTA;21;entrambi;;;14/10/20;20.15;4.00;19.00;5.00;12/10/20;28/09/20;
300;VIA BEZZECCA;21;entrambi;;;14/10/20;20.15;4.00;19.00;5.00;12/10/20;28/09/20;
3450;VIALE VERONA;21;entrambi;da incrocio Via Marsala a incrocio Via A. Fogazzaro ;da incrocio Via Marsala a incrocio Via A. Fogazzaro ;14/10/20;20.15;4.00;19.00;5.00;12/10/20;28/09/20;
