strada;desvia;percorso;lato;tratto;note;data pulizia;orario pulizia inizio;orario pulizia fine;divieto di sosta inizio;divieto di sosta fine;data posizionamento segnaletica;data prima pubblicazione;data aggiornamento
1370;VIA GOCCIADORO;23;entrambi;da Largo Donatori Vol. Sangue a  incrocio Viale Verona;;27/10/2023;20.15;02.30;19.00;05.00;25/10/2023;13/10/2023;
1380;VIA GORIZIA;23;entrambi;da incrocio Piazza Vicenza a incrocio Via Bolghera;;27/10/2023;20.15;02.30;19.00;05.00;25/10/2023;13/10/2023;
3770;VIA H. JEDIN;23;entrambi;;;27/10/2023;20.15;02.30;19.00;05.00;25/10/2023;13/10/2023;
2040;VIA NICOLO' D'ARCO;23;entrambi;;;27/10/2023;20.15;02.30;19.00;05.00;25/10/2023;13/10/2023;
2140;VIA P. ORSI;23;entrambi;;;27/10/2023;20.15;02.30;19.00;05.00;25/10/2023;13/10/2023;
2280;VIA PASUBIO;23;entrambi;;;27/10/2023;20.15;02.30;19.00;05.00;25/10/2023;13/10/2023;
2930;VIA SANT'ANTONIO;23;entrambi;;;27/10/2023;20.15;02.30;19.00;05.00;25/10/2023;13/10/2023;
3280;VIA TONALE;23;entrambi;;;27/10/2023;20.15;02.30;19.00;05.00;25/10/2023;13/10/2023;
3470;PIAZZA VICENZA;24;entrambi;;;30/10/2023;20.15;04.00;19.00;05.00;26/10/2023;13/10/2023;
4048;PONTE BEATO MARIO BORZAGA;24;entrambi;;;30/10/2023;20.15;04.00;19.00;05.00;26/10/2023;13/10/2023;
170;VIA A. APOLLONIO;24;nord;lato nord;;30/10/2023;20.15;04.00;19.00;05.00;26/10/2023;13/10/2023;
2050;VIA A. NICOLODI;24;ovest;lato ovest;;30/10/2023;20.15;04.00;19.00;05.00;26/10/2023;13/10/2023;
330;VIA BOLGHERA;24;entrambi;;;30/10/2023;20.15;04.00;19.00;05.00;26/10/2023;13/10/2023;
620;VIA CARE' ALTO;24;entrambi;;;30/10/2023;20.15;04.00;19.00;05.00;26/10/2023;13/10/2023;
810;VIA COL DI LANA;24;entrambi;;;30/10/2023;20.15;04.00;19.00;05.00;26/10/2023;13/10/2023;
860;VIA CONI ZUGNA;24;entrambi;;;30/10/2023;20.15;04.00;19.00;05.00;26/10/2023;13/10/2023;
3822;VIA DEL MASO SMALZ;24;entrambi;fino entrata Maso Smalz;;30/10/2023;20.15;04.00;19.00;05.00;26/10/2023;13/10/2023;
1310;VIA DELLE GHIAIE;24;entrambi;;;30/10/2023;20.15;04.00;19.00;05.00;26/10/2023;13/10/2023;
2300;VIA G. PECORI GIRALDI;24;entrambi;;;30/10/2023;20.15;04.00;19.00;05.00;26/10/2023;13/10/2023;
150;VIA L. ANZOLETTI;24;ovest;lato ovest;;30/10/2023;20.15;04.00;19.00;05.00;26/10/2023;13/10/2023;
1960;VIA MONTELLO;24;entrambi;;;30/10/2023;20.15;04.00;19.00;05.00;26/10/2023;13/10/2023;
2190;VIA PADOVA;24;entrambi;;;30/10/2023;20.15;04.00;19.00;05.00;26/10/2023;13/10/2023;
2560;VIA RAVENNA;24;entrambi;;;30/10/2023;20.15;04.00;19.00;05.00;26/10/2023;13/10/2023;
3480;VIA VICENZA;24;entrambi;;;30/10/2023;20.15;04.00;19.00;05.00;26/10/2023;13/10/2023;
340;VIALE N. BOLOGNINI;24;entrambi;da Ponte dei Mille a Ponte dei Cavalleggeri;;30/10/2023;20.15;04.00;19.00;05.00;26/10/2023;13/10/2023;
3803;PIAZZALE EUROPA;25;entrambi;;;31/10/2023;20.15;04.00;19.00;05.00;27/10/2023;13/10/2023;
900;VIA A. DEGASPERI;25;entrambi;;;31/10/2023;20.15;04.00;19.00;05.00;27/10/2023;13/10/2023;
1760;VIA A. MARIGHETTO;25;entrambi;;;31/10/2023;20.15;04.00;19.00;05.00;27/10/2023;13/10/2023;
1870;VIA C. MENGUZZATO;25;entrambi;dalla rotatoria incrocio Via Edmund Mach a Piazzale Europa;;31/10/2023;20.15;04.00;19.00;05.00;27/10/2023;13/10/2023;
3817;VIA DI MADONNA BIANCA;25;entrambi;rotonda all'incrocio con Viale Verona;;31/10/2023;20.15;04.00;19.00;05.00;27/10/2023;13/10/2023;
1860;VIA GEN. GIACOMO MEDICI;25;entrambi;;;31/10/2023;20.15;04.00;19.00;05.00;27/10/2023;13/10/2023;
1800;VIA MARSALA;25;entrambi;;;31/10/2023;20.15;04.00;19.00;05.00;27/10/2023;13/10/2023;
2880;VIA SAN PIO X;25;entrambi;;;31/10/2023;20.15;04.00;19.00;05.00;27/10/2023;13/10/2023;
3250;VIALE DEI TIGLI;25;sud;lato sud;;31/10/2023;20.15;04.00;19.00;05.00;27/10/2023;13/10/2023;
2600;VIALE DELLE ROBINIE;25;entrambi;;;31/10/2023;20.15;04.00;19.00;05.00;27/10/2023;13/10/2023;
900;VIA A. DEGASPERI;26;entrambi;tratto da civico 21 a Via La Clarina;;02/11/2023;20.15;04.00;19.00;05.00;30/10/2023;13/10/2023;
1180;VIA A. FRANK;26;entrambi;;;02/11/2023;20.15;04.00;19.00;05.00;30/10/2023;13/10/2023;
1390;VIA A. GRAMSCI;26;entrambi;;;02/11/2023;20.15;04.00;19.00;05.00;30/10/2023;13/10/2023;
770;VIA E. CHINI;26;entrambi;;;02/11/2023;20.15;04.00;19.00;05.00;30/10/2023;13/10/2023;
1210;VIA GANDHI;26;entrambi;;;02/11/2023;20.15;04.00;19.00;05.00;30/10/2023;13/10/2023;
1370;VIA GOCCIADORO;26;entrambi;tratto dal civico 86/1 a Via San Bartolameo;;02/11/2023;20.15;04.00;19.00;05.00;30/10/2023;13/10/2023;
1050;VIA L. EINAUDI;26;entrambi;;;02/11/2023;20.15;04.00;19.00;05.00;30/10/2023;13/10/2023;
780;VIA LA CLARINA;26;entrambi;;;02/11/2023;20.15;04.00;19.00;05.00;30/10/2023;13/10/2023;
2700;VIA SAN BARTOLAMEO;26;entrambi;da incrocio via Chini a incrocio via Gocciadoro;;02/11/2023;20.15;04.00;19.00;05.00;30/10/2023;13/10/2023;
3250;VIALE DEI TIGLI;26;nord;lato nord;;02/11/2023;20.15;04.00;19.00;05.00;30/10/2023;13/10/2023;
